utterance_id,emotion_label
icty_karadzic_nan_nan_1_utt00001,neutral
icty_karadzic_nan_nan_1_utt00002,neutral
icty_karadzic_nan_nan_1_utt00003,neutral
icty_karadzic_nan_nan_1_utt00004,neutral
icty_karadzic_nan_nan_1_utt00005,neutral
icty_karadzic_nan_nan_1_utt00006,neutral
icty_karadzic_nan_nan_1_utt00007,neutral
icty_karadzic_nan_nan_1_utt00008,neutral
icty_karadzic_nan_nan_1_utt00009,neutral
icty_karadzic_nan_nan_1_utt00010,neutral
icty_karadzic_nan_nan_1_utt00011,neutral
icty_karadzic_nan_nan_1_utt00012,neutral
icty_karadzic_nan_nan_1_utt00013,neutral
icty_karadzic_nan_nan_1_utt00014,neutral
icty_karadzic_nan_nan_1_utt00015,neutral
icty_karadzic_nan_nan_1_utt00016,neutral
icty_karadzic_nan_nan_1_utt00017,neutral
icty_karadzic_nan_nan_1_utt00018,neutral
icty_karadzic_nan_nan_1_utt00019,neutral
icty_karadzic_nan_nan_1_utt00020,neutral
icty_karadzic_nan_nan_1_utt00021,neutral
icty_karadzic_nan_nan_1_utt00022,neutral
icty_karadzic_nan_nan_1_utt00023,neutral
icty_karadzic_nan_nan_1_utt00024,neutral
icty_karadzic_nan_nan_1_utt00025,neutral
icty_karadzic_nan_nan_1_utt00026,neutral
icty_karadzic_nan_nan_1_utt00027,neutral
icty_karadzic_nan_nan_1_utt00028,neutral
icty_karadzic_nan_nan_1_utt00029,neutral
icty_karadzic_nan_nan_1_utt00030,neutral
icty_karadzic_nan_nan_1_utt00031,neutral
icty_karadzic_nan_nan_1_utt00032,neutral
icty_karadzic_nan_nan_1_utt00033,neutral
icty_karadzic_nan_nan_1_utt00034,neutral
icty_karadzic_nan_nan_1_utt00035,neutral
icty_karadzic_nan_nan_1_utt00036,neutral
icty_karadzic_nan_nan_1_utt00037,neutral
icty_karadzic_nan_nan_1_utt00038,neutral
icty_karadzic_nan_nan_1_utt00039,neutral
icty_karadzic_nan_nan_1_utt00040,neutral
icty_karadzic_nan_nan_1_utt00041,neutral
icty_karadzic_nan_nan_1_utt00042,neutral
icty_karadzic_nan_nan_1_utt00043,neutral
icty_karadzic_nan_nan_1_utt00044,neutral
icty_karadzic_nan_nan_1_utt00045,neutral
icty_karadzic_nan_nan_1_utt00046,neutral
icty_karadzic_nan_nan_1_utt00047,neutral
icty_karadzic_nan_nan_1_utt00048,neutral
icty_karadzic_nan_nan_1_utt00049,neutral
icty_karadzic_nan_nan_1_utt00050,neutral
icty_karadzic_nan_nan_1_utt00051,neutral
icty_karadzic_nan_nan_1_utt00052,neutral
icty_karadzic_nan_nan_1_utt00053,neutral
icty_karadzic_nan_nan_1_utt00054,neutral
icty_karadzic_nan_nan_1_utt00055,neutral
icty_karadzic_nan_nan_1_utt00056,neutral
icty_karadzic_nan_nan_1_utt00057,neutral
icty_karadzic_nan_nan_1_utt00058,neutral
icty_karadzic_nan_nan_1_utt00059,neutral
icty_karadzic_nan_nan_1_utt00060,neutral
icty_karadzic_nan_nan_1_utt00061,neutral
icty_karadzic_nan_nan_1_utt00062,neutral
icty_karadzic_nan_nan_1_utt00063,neutral
icty_karadzic_nan_nan_1_utt00064,neutral
icty_karadzic_nan_nan_1_utt00065,neutral
icty_karadzic_nan_nan_1_utt00066,neutral
icty_karadzic_nan_nan_1_utt00067,neutral
icty_karadzic_nan_nan_1_utt00068,neutral
icty_karadzic_nan_nan_1_utt00069,neutral
icty_karadzic_nan_nan_1_utt00070,neutral
icty_karadzic_nan_nan_1_utt00071,neutral
icty_karadzic_nan_nan_1_utt00072,neutral
icty_karadzic_nan_nan_1_utt00073,neutral
icty_karadzic_nan_nan_1_utt00074,neutral
icty_karadzic_nan_nan_1_utt00075,neutral
icty_karadzic_nan_nan_1_utt00076,neutral
icty_karadzic_nan_nan_1_utt00077,neutral
icty_karadzic_nan_nan_1_utt00078,neutral
icty_karadzic_nan_nan_1_utt00079,neutral
icty_karadzic_nan_nan_1_utt00080,neutral
icty_karadzic_nan_nan_1_utt00081,neutral
icty_karadzic_nan_nan_1_utt00082,neutral
icty_karadzic_nan_nan_1_utt00083,neutral
icty_karadzic_nan_nan_1_utt00084,neutral
icty_karadzic_nan_nan_1_utt00085,neutral
icty_karadzic_nan_nan_1_utt00086,neutral
icty_karadzic_nan_nan_1_utt00087,neutral
icty_karadzic_nan_nan_1_utt00088,neutral
icty_karadzic_nan_nan_1_utt00089,neutral
icty_karadzic_nan_nan_1_utt00090,neutral
icty_karadzic_nan_nan_1_utt00091,neutral
icty_karadzic_nan_nan_1_utt00092,neutral
icty_karadzic_nan_nan_1_utt00093,neutral
icty_karadzic_nan_nan_1_utt00094,neutral
icty_karadzic_nan_nan_1_utt00095,neutral
icty_karadzic_nan_nan_1_utt00096,neutral
icty_karadzic_nan_nan_1_utt00097,neutral
icty_karadzic_nan_nan_1_utt00098,neutral
icty_karadzic_nan_nan_1_utt00099,neutral
icty_karadzic_nan_nan_1_utt00100,neutral
icty_karadzic_nan_nan_1_utt00101,neutral
icty_karadzic_nan_nan_1_utt00102,neutral
icty_karadzic_nan_nan_1_utt00103,neutral
icty_karadzic_nan_nan_1_utt00104,neutral
icty_karadzic_nan_nan_1_utt00105,neutral
icty_karadzic_nan_nan_1_utt00106,neutral
icty_karadzic_nan_nan_1_utt00107,neutral
icty_karadzic_nan_nan_1_utt00108,neutral
icty_karadzic_nan_nan_1_utt00109,neutral
icty_karadzic_nan_nan_1_utt00110,neutral
icty_karadzic_nan_nan_1_utt00111,neutral
icty_karadzic_nan_nan_1_utt00112,neutral
icty_karadzic_nan_nan_1_utt00113,neutral
icty_karadzic_nan_nan_1_utt00114,neutral
icty_karadzic_nan_nan_1_utt00115,neutral
icty_karadzic_nan_nan_1_utt00116,neutral
icty_karadzic_nan_nan_1_utt00117,neutral
icty_karadzic_nan_nan_1_utt00118,neutral
icty_karadzic_nan_nan_1_utt00119,neutral
