utterance_id,credibility_label
icty_karadzic_nan_nan_1_utt00001,consistent
icty_karadzic_nan_nan_1_utt00002,consistent
icty_karadzic_nan_nan_1_utt00003,consistent
icty_karadzic_nan_nan_1_utt00004,consistent
icty_karadzic_nan_nan_1_utt00005,consistent
icty_karadzic_nan_nan_1_utt00006,consistent
icty_karadzic_nan_nan_1_utt00007,consistent
icty_karadzic_nan_nan_1_utt00008,consistent
icty_karadzic_nan_nan_1_utt00009,consistent
icty_karadzic_nan_nan_1_utt00010,consistent
icty_karadzic_nan_nan_1_utt00011,consistent
icty_karadzic_nan_nan_1_utt00012,consistent
icty_karadzic_nan_nan_1_utt00013,consistent
icty_karadzic_nan_nan_1_utt00014,consistent
icty_karadzic_nan_nan_1_utt00015,consistent
icty_karadzic_nan_nan_1_utt00016,consistent
icty_karadzic_nan_nan_1_utt00017,consistent
icty_karadzic_nan_nan_1_utt00018,consistent
icty_karadzic_nan_nan_1_utt00019,consistent
icty_karadzic_nan_nan_1_utt00020,consistent
icty_karadzic_nan_nan_1_utt00021,consistent
icty_karadzic_nan_nan_1_utt00022,consistent
icty_karadzic_nan_nan_1_utt00023,consistent
icty_karadzic_nan_nan_1_utt00024,consistent
icty_karadzic_nan_nan_1_utt00025,consistent
icty_karadzic_nan_nan_1_utt00026,consistent
icty_karadzic_nan_nan_1_utt00027,consistent
icty_karadzic_nan_nan_1_utt00028,consistent
icty_karadzic_nan_nan_1_utt00029,consistent
icty_karadzic_nan_nan_1_utt00030,consistent
icty_karadzic_nan_nan_1_utt00031,consistent
icty_karadzic_nan_nan_1_utt00032,consistent
icty_karadzic_nan_nan_1_utt00033,consistent
icty_karadzic_nan_nan_1_utt00034,consistent
icty_karadzic_nan_nan_1_utt00035,consistent
icty_karadzic_nan_nan_1_utt00036,consistent
icty_karadzic_nan_nan_1_utt00037,consistent
icty_karadzic_nan_nan_1_utt00038,consistent
icty_karadzic_nan_nan_1_utt00039,consistent
icty_karadzic_nan_nan_1_utt00040,consistent
icty_karadzic_nan_nan_1_utt00041,consistent
icty_karadzic_nan_nan_1_utt00042,consistent
icty_karadzic_nan_nan_1_utt00043,consistent
icty_karadzic_nan_nan_1_utt00044,consistent
icty_karadzic_nan_nan_1_utt00045,consistent
icty_karadzic_nan_nan_1_utt00046,consistent
icty_karadzic_nan_nan_1_utt00047,consistent
icty_karadzic_nan_nan_1_utt00048,consistent
icty_karadzic_nan_nan_1_utt00049,consistent
icty_karadzic_nan_nan_1_utt00050,consistent
icty_karadzic_nan_nan_1_utt00051,consistent
icty_karadzic_nan_nan_1_utt00052,consistent
icty_karadzic_nan_nan_1_utt00053,consistent
